Snippet ID,Language,Snippet,Description,Complexity
31,Python,def factorial(n):,,
if n == 0:,,,,
return 1,,,,
    else:,,,,
return n * factorial(n-1),Calculates the factorial of a number recursively,Medium,,
32,JavaScript,function factorial(n) {,,
return n === 0 ? 1 : n * factorial(n - 1);,,,,
},Calculates the factorial of a number recursively,Medium,,
33,Java,public int factorial(int n) {,,
return n == 0 ? 1 : n * factorial(n - 1);,,,,
},Calculates the factorial of a number recursively,Medium,,
34,C++,int factorial(int n) {,,
return n == 0 ? 1 : n * factorial(n - 1);,,,,
},Calculates the factorial of a number recursively,Medium,,
35,Ruby,def factorial(n),,
n == 0 ? 1 : n * factorial(n - 1),,,,
end,Calculates the factorial of a number recursively,Medium,,
36,Python,import random,,
random_number = random.randint(1,100),Generates a random number between 1 and 100,Easy,
37,JavaScript,const randomNumber = Math.floor(Math.random() * 100) + 1;,Generates a random number between 1 and 100,Easy
38,Java,Random rand = new Random();,,
int randomNumber = rand.nextInt(100) + 1;,Generates a random number between 1 and 100,Easy,,
39,C++,#include <random>,,
std::random_device rd;,,,,
std::mt19937 gen(rd());,,,,
std::uniform_int_distribution<> dis(1,100);,,,
int randomNumber = dis(gen);,Generates a random number between 1 and 100,Easy,,
40,Ruby,random_number = rand(1..100),Generates a random number between 1 and 100,Easy
41,Python,def bubble_sort(arr):,,
    n = len(arr),,,,
    for i in range(n):,,,,
for j in range(0,n-i-1):,,,
if arr[j] > arr[j+1]:,,,,
                arr[j],arr[j+1] = arr[j+1], arr[j],,
    return arr,Implements bubble sort algorithm,Hard,,
42,JavaScript,function bubbleSort(arr) {,,
    const n = arr.length;,,,,
for (let i = 0; i < n; i++) {,,,,
for (let j = 0; j < n - i - 1; j++) {,,,,
if (arr[j] > arr[j + 1]) {,,,,
                [arr[j],arr[j + 1]] = [arr[j + 1], arr[j]];,,
            },,,,
        },,,,
    },,,,
    return arr;,,,,
},Implements bubble sort algorithm,Hard,,
43,Java,public void bubbleSort(int[] arr) {,,
    int n = arr.length;,,,,
for (int i = 0; i < n-1; i++),,,,
for (int j = 0; j < n-i-1; j++),,,,
if (arr[j] > arr[j+1]) {,,,,
                int temp = arr[j];,,,,
arr[j] = arr[j+1];,,,,
arr[j+1] = temp;,,,,
            },,,,
},Implements bubble sort algorithm,Hard,,
44,C++,void bubbleSort(int arr[], int n) {,
for (int i = 0; i < n-1; i++),,,,
for (int j = 0; j < n-i-1; j++),,,,
if (arr[j] > arr[j+1]),,,,
                swap(arr[j],arr[j+1]);,,,
},Implements bubble sort algorithm,Hard,,
45,Ruby,def bubble_sort(arr),,
  n = arr.length,,,,
  loop do,,,,
    swapped = false,,,,
(n-1).times do |i|,,,,
if arr[i] > arr[i+1],,,,
        arr[i],arr[i+1] = arr[i+1], arr[i],,
        swapped = true,,,,
      end,,,,
    end,,,,
    break unless swapped,,,,
  end,,,,
  arr,,,,
end,Implements bubble sort algorithm,Hard,,
46,Python,import datetime,,
current_time = datetime.datetime.now(),Gets the current date and time,Easy,,
47,JavaScript,const currentTime = new Date();,Gets the current date and time,Easy
48,Java,import java.time.LocalDateTime;,,
LocalDateTime currentTime = LocalDateTime.now();,Gets the current date and time,Easy,,
49,C++,#include <chrono>,,
auto currentTime = std::chrono::system_clock::now();,Gets the current date and time,Easy,,
50,Ruby,require 'date',,
current_time = DateTime.now,Gets the current date and time,Easy,,
51,Python,def fibonacci(n):,,
if n <= 1:,,,,
        return n,,,,
    else:,,,,
return fibonacci(n-1) + fibonacci(n-2),Calculates the nth Fibonacci number recursively,Medium,,
52,JavaScript,function fibonacci(n) {,,
return n <= 1 ? n : fibonacci(n - 1) + fibonacci(n - 2);,,,,
},Calculates the nth Fibonacci number recursively,Medium,,
53,Java,public int fibonacci(int n) {,,
if (n <= 1),,,,
        return n;,,,,
return fibonacci(n-1) + fibonacci(n-2);,,,,
},Calculates the nth Fibonacci number recursively,Medium,,
54,C++,int fibonacci(int n) {,,
if (n <= 1),,,,
        return n;,,,,
return fibonacci(n-1) + fibonacci(n-2);,,,,
},Calculates the nth Fibonacci number recursively,Medium,,
55,Ruby,def fibonacci(n),,
n <= 1 ? n : fibonacci(n-1) + fibonacci(n-2),,,,
end,Calculates the nth Fibonacci number recursively,Medium,,
56,Python,import re,,
pattern = r'\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Z|a-z]{2,}\b',,,
"text = ""Contact us at info@example.com""",,,,
matches = re.findall(pattern,,,,
57,Python,def factorial(n):,,
if n == 0:,,,,
return 1,,,,
    else:,,,,
return n * factorial(n-1),Calculates the factorial of a number recursively,Medium,,
58,JavaScript,function factorial(n) {,,
return n === 0 ? 1 : n * factorial(n - 1);,,,,
},Calculates the factorial of a number recursively,Medium,,
